"b" "c" "(2,0)" "(0,2)" "(1,1)" "(1,0)" "(0,1)" "(0,0)"
"IGR1118a_1" 14 9 4 0 2 4 7 8
"IGR1119a_1" 11 9 2 0 2 5 7 9
"IGR1143a_1" 9 18 0 5 2 7 6 5
"IGR1144a_1" 9 16 0 4 2 7 6 6
"IGR1169a_2" 8 10 0 2 1 7 5 10
"IGR1218a_2" 9 16 0 5 2 7 4 7
"IGR1219a_2" 6 13 0 3 1 5 6 10
"IGR1286a_1" 9 12 0 2 2 7 6 8
"TSC0101718" 4 5 0 0 1 3 4 17
"IGR1373a_1" 17 8 3 0 2 9 6 5
"IGR1371a_1" 14 6 3 0 1 7 5 9
"IGR1369a_2" 6 15 0 3 2 4 7 9
"IGR1369a_1" 17 8 3 0 2 9 6 5
"IGR1367a_1" 16 9 3 0 2 8 7 5
"IGR2008a_2" 9 18 1 2 1 6 13 2
"IGR2008a_1" 5 11 0 0 0 5 11 9
"IGR2010a_3" 13 12 0 0 1 12 11 1
"IGR2011b_1" 16 12 3 3 3 7 3 6
"IGR2016a_1" 10 15 0 0 1 9 14 1
"IGR2020a_1" 1 2 0 0 0 1 2 22
